Food,Level,Star Ratings 1,Star Ratings 2,Star Ratings 3,Star Ratings 4,Star Ratings 5,Recipe,Total Cost,Raw Profit,Net Profit 1,Net Profit 2,Net Profit 3,Net Profit 4,Net Profit 5,Source,Column1,Needed for mastery
Bizarre food,,30.0,-,-,-,-,Burn any food,0,,30.0,,,,,,,No Mastery
Bizzare drink,,30.0,-,-,-,-,Burn any drink,0,,30.0,,,,,,,No Mastery
House Salad,,90.0,135,180,360,720,2 Vegetable,20,40,70.0,115.0,160,340.0,700.0,,,960
Jams,,,,,,,,,,,,,,,,,960
Mixed Jam,1.0,160.0,240,320,640,1280,4 Fruit,all foraged,64,160.0,240.0,320,640.0,1280.0,,,960
Blueberry Jam,1.0,170.0,255,340,680,1360,4 Blueberry,all foraged,64,170.0,255.0,340,680.0,1360.0,,,960
Tomato Sauce,1.0,180.0,270,360,720,1440,4 Tomato,40,80,140.0,230.0,320,680.0,1400.0,,,960
Raspberry Jam,1.0,250.0,475,500,1000,2000,4 Raspberry,all foraged,104,250.0,475.0,500,1000.0,2000.0,,,960
Apple Jam,1.0,270.0,405,540,1080,2160,4 Apple,all foraged,112,270.0,405.0,540,1080.0,2160.0,,,960
Mandarin Jam,1.0,270.0,405,540,1080,2160,4 Mandarin,all foraged,112,270.0,405.0,540,1080.0,2160.0,,,960
Pineapple Jam,4.0,280.0,420,560,1120,2240,4 Pineapple,60,148,220.0,360.0,500,1060.0,2180.0,,,960
Strawberry Jam,6.0,1580.0,2370,3160,6320,12640,4 Strawberry,500,1000,1080.0,1870.0,2660,5820.0,12140.0,,,960
Grape Jam,7.0,2020.0,3030,4040,8080,16160,4 Grapes,640,1280,1380.0,2390.0,3400,7440.0,15520.0,,,960
Chocolate Sauce,12.0,1400.0,2100,2800,5600,11200,4 Cocoa,440,880,960.0,1660.0,2360,5160.0,10760.0,,,960
Grilled,,,,,,,,,,,,,,,,,
Grilled Mushroom,1.0,180.0,270,360,720,1440,4 Mushroom,all foraged,64,180.0,270.0,360,720.0,1440.0,,,720
Grilled Button Mushroom,1.0,180.0,270,360,720,1440,4 Button,all foraged,64,180.0,270.0,360,720.0,1440.0,,,720
Grilled Oyster Mushroom,1.0,180.0,270,360,720,1440,4 Oyster,all foraged,64,180.0,270.0,360,720.0,1440.0,,,720
Grilled Penny Bun,1.0,180.0,270,360,720,1440,4 PennyBun,all foraged,64,180.0,270.0,360,720.0,1440.0,,,720
Grilled Shiitake Mushroom,1.0,180.0,270,360,720,1440,4 Shiitake,all foraged,64,180.0,270.0,360,720.0,1440.0,,,720
Pies,,,,,,,,,,,,,,,,,
Mushroom Pie,1.0,500.0,750,1000,2000,4000,"2 Mushroom, 1 Wheat, 1 Egg",195,222,305.0,555.0,805,1805.0,3805.0,,,720
