Fish,Level,Weather,Time,Shadow Size,Location,1 star price,2 star price,3 star price,4 star price,5 star price
Striped Red Mullet,1,"Sun, Rain, Snow, Rainbow",All day,Golden,Sea Fishing,320,480,640,1280,2560
Common Octopus,4,"Sun, Rain, Snow, Rainbow",All day,"Medium, Golden",Sea Fishing,320,480,640,1280,2560
Anglerfish,2,"Sun, Rain, Snow, Rainbow",All day,Golden,Sea Fishing,320,480,640,1280,2560
Turbot,3,"Sun, Rain, Snow, Rainbow",All day,Medium,Sea Fishing,320,480,640,1280,2560
European Flying Squid,5,"Sun, Rain, Snow, Rainbow",All day,Golden,Sea Fishing,320,480,640,1280,2560
Nursehound,6,"Sun, Rain, Snow, Rainbow",All day,"Large, Golden",Sea Fishing,535,802,1070,2140,4280
Giant Oarfish,7,"Sun, Rain, Snow, Rainbow",6:00AM-6:00PM,Golden,Sea Fishing,535,802,1070,2140,4280
Golden King Crab,8,Rainbow,All day,Golden,Sea Fishing,850,1275,1700,3400,6800
Moonfish,9,"Sun, Rain, Snow, Rainbow",6:00PM-6:00AM,Golden,Sea Fishing,850,1275,1700,3400,6800
Shortfin Mako Shark,10,Rainbow,6:00AM-6:00PM,Golden,Sea Fishing,850,1275,1700,3400,6800
Sardine,1,"Sun, Rain, Snow, Rainbow",All day,Small,Ocean,50,75,100,200,400
Sea Bass,1,"Sun, Rain, Snow, Rainbow",All day,Medium,Ocean,75,112,150,300,600
Skipjack Tuna,1,"Sun, Rain, Snow, Rainbow",All day,Large,Ocean,210,315,420,840,1680
Rabbit Fish,4,"Sun, Rain, Snow, Rainbow",Mermaid Attractor,"Medium, Blue",Ocean,320,480,640,1280,2560
Beltfish,1,"Sun, Rain, Snow, Rainbow",All day,Large,Zephyr Sea,105,157,210,420,840
Atlantic Pygmy Octopus,3,"Sun, Rain, Snow, Rainbow",All day,Small,Zephyr Sea,150,225,300,600,1200
False Scad,2,"Sun, Rain, Snow, Rainbow",All day,Medium,Zephyr Sea,155,232,310,620,1240
European Lobster,5,"Sun, Rain, Snow, Rainbow",6:00PM-6:00AM,Medium,Zephyr Sea,230,345,460,920,1840
Blackspot Seabream,7,"Rain, Snow, Rainbow",6:00PM-6:00AM,Medium,Zephyr Sea,230,345,460,920,1840
Bluefin Tuna,9,Rainbow,6:00AM-6:00PM,Large,Zephyr Sea,850,1275,1700,3400,6800
Common Prawn,1,"Sun, Rain, Snow, Rainbow",All day,Small,East Sea,50,75,100,200,400
