Item,Price
Mushroom,
Button,16
Oyster,16
Shiitake,16
PennyBun,16
BlackTruffle,99
Bizarre Button (Blue),16
Bizarre Button (Red),16
Bizarre Button (Green),16
Bizarre Oyster (Pink),16
Bizarre Oyster (Purple),16
Bizarre Oyster (Orange),16
Bizarre Shiitake (Blue),16
Bizarre Shiitake (Red),16
Bizarre Shiitake (Black),16
Bizarre Penny Bun (Purple),16
Bizarre Penny Bun (Red),16
Bizarre Penny Bun (Pink),16
Blueberry,16
Raspberry,26
Mandarin,28
Apple,28
Bamboo,7
Branch,5
Timber,6
Quality Timber,12
Rare Timber,50
Roaming Oak Timber,150
Stone,8
Ore,14
Flawless Fluorite,150
Starfall Shard,150
Party Popper (All Color),25
Party Popper (Rainbow),40
Dye,50
Large Party Popper (All Color),50
Large Party Popper (Rainbow),75
Colorful Sparkler,150
Kite,600
Balloon,600
